NM_CANDIDATO,kmeans,y,x
SEVERINO DE LIRA PESSÔA,1,8,15
EROS FERREIRA BIONDINI,1,7,15
HEITOR RODRIGO PEREIRA FREIRE,1,6,15
OTTO ROBERTO MENDONÇA DE ALENCAR FILHO,1,5,15
MARINA SANTOS BATISTA DIAS,1,4,15
HIRAN MANUEL GONÇALVES DA SILVA,1,3,15
RICARDO IZAR JUNIOR,1,2,15
ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,1,1,15
RICARDO TEOBALDO CAVALCANTI,1,16,16
ISNALDO BULHÕES BARROS JUNIOR,1,15,16
FLAVIO RODRIGUES NOGUEIRA,1,14,16
ÉDER MAURO CARDOSO BARRA,1,13,16
DANIEL GOMES DE ALMEIDA,1,12,16
PAULO ROBERTO FREIRE DA COSTA,1,11,16
NILTO IGNACIO TATTO,1,10,16
DANIEL COSTA DE FREITAS,1,9,16
ELCIONE THEREZINHA ZAHLUTH BARBALHO,1,8,16
ALCIDES RODRIGUES FILHO,1,7,16
LOESTER CARLOS GOMES DE SOUZA,1,6,16
RAUL JEAN LOUIS HENRY JUNIOR,1,5,16
ANDRE LUIS GASPAR JANONES,1,4,16
HENRIQUE FONTANA JÚNIOR,1,3,16
FERNANDO LUCIO GIACOBO,1,2,16
VANDER LUIZ DOS SANTOS LOUBET,1,1,16
WELITON FERNANDES PRADO,1,16,17
JOSÉ ALFONSO EBERT HAMM,1,15,17
ANTONIO CARLOS NICOLETTI,1,14,17
GIOVANI CHERINI,1,13,17
MÁRIO SILVIO MENDES NEGROMONTE JÚNIOR,1,12,17
JOÃO FRANCISCO INÁCIO BRAZÃO,1,11,17
JOSIAS MARIO DA VITORIA,1,10,17
ALEX MARCO SANTANA SOUSA,1,9,17
GLAUBER DE MEDEIROS BRAGA,1,8,17
VINICIUS RAPOZO DE CARVALHO,1,7,17
FÁBIO AUGUSTO RAMALHO DOS SANTOS,1,6,17
LAURIETE RODRIGUES DE JESUS MALTA,1,5,17
SÉRGIO TOLEDO DE ALBUQUERQUE,1,4,17
HUGO MOTTA WANDERLEY DA NÓBREGA,1,3,17
JOSE RICARDO WENDLING,1,2,17
JOHNATHAN PEREIRA DE JESUS,1,1,17
MARCOS AURELIO PADUA RIBEIRO GONÇALVES DE SAMPAIO,1,16,18
IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,1,15,18
NILSON PINTO DE OLIVEIRA,1,14,18
MARCIO DELLA VALLE BIOLCHI,1,13,18
LUIZ ANTONIO DA COSTA CARVALHO CORREA DA SILVA,1,12,18
FABIO DE ALMEIDA REIS,1,11,18
SEBASTIÃO IGNACIO DE OLIVEIRA JUNIOR,1,10,18
JULIO CESAR DELGADO,1,9,18
CLEBER VERDE CORDEIRO MENDES,1,8,18
EDILAZIO GOMES DA SILVA JUNIOR,1,7,18
JOSIMAR CUNHA RODRIGUES,1,6,18
MÁRIO LÚCIO HERINGER,1,5,18
MARCELO EDUARDO FREITAS,1,4,18
ANTONIO DA CRUZ FILGUEIRA NETO,1,3,18
PAULO ABI-ACKEL,1,2,18
PAULO FERNANDO DOS SANTOS,1,1,18
MARCOS ROBERIO RIBEIRO MONTEIRO,1,16,19
RUI GOETHE DA COSTA FALCÃO,1,15,19
GEOVANIA DE SA RODRIGUES,1,14,19
LINCOLN DINIZ PORTELA,1,13,19
MARLON ARATOR SANTOS DA ROSA,1,12,19
JAZIEL PEREIRA DE SOUSA,1,11,19
MAGDA MOFATTO HON,1,10,19
PEDRO AUGUSTO GEROMEL BEZERRA DE MENEZES,1,9,19
WALTER PEREIRA ALVES,1,8,19
CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,1,7,19
PEDRO PAULO CARVALHO TEIXEIRA,1,6,19
GULLIEM CHARLES BEZERRA LEMOS,1,5,19
SÓSTENES SILVA CAVALCANTE,1,4,19
HAROLDO ALVES CAMPOS,1,3,19
CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,1,2,19
ALINE PARANHOS VARONIL GURGEL,1,1,19
RAIMUNDO MAGALHÃES COSTA,1,16,20
NIVALDO FERREIRA DE ALBUQUERQUE NETO,1,15,20
FRANCISCO VAIDON OLIVEIRA,1,14,20
JOSE ABILIO SILVA DE SANTANA,1,13,20
OSSESIO JOSE DA SILVA,1,12,20
ENIO JOSÉ VERRI,1,11,20
VANDA DENIR MILANI NOGUEIRA,1,10,20
EUCLYDES MARCOS PETTERSEN NETO,1,9,20
CARLOS ALBERTO CHIODINI,1,8,20
JUAREZ ALVES DA COSTA,1,7,20
JOSE AIRTON FELIX CIRILO DA SILVA,1,6,20
MARCELO GUILHERME DE ARO FERREIRA,1,5,20
VICENTE ALVES DE OLIVEIRA JUNIOR,1,4,20
ANTÔNIO LUIZ RODRIGUES MANO JÚNIOR,1,3,20
ANTÔNIO DA LUZ FURTADO,1,2,20
SILAS CÂMARA,1,1,20
CARLOS TITO MARQUES CORDEIRO,1,16,21
FRANCISCO JOSE D ANGELO PINTO,1,15,21
BENEDITO ROBERTO ALVES FERREIRA,1,14,21
ROBERTO SOARES PESSOA,1,13,21
WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA,1,12,21
RUY MANUEL CARNEIRO BARBOSA DE AÇA BELCHIOR,1,11,21
MANOEL ISIDORIO DE SANTANA JUNIOR,2,10,21
MARCO ANTONIO FELICIANO,2,9,21
NEY LEPREVOST NETO,2,8,21
LAERCIO JOSE DE OLIVEIRA,2,7,21
CARLOS ROBERTO COELHO DE MATTOS JÚNIOR,2,6,21
NORMA AYUB ALVES,2,5,21
FAUSTO RUY PINATO,2,4,21
JOSE MARIO SCHREINER,2,3,21
LUIZ GOULARTE ALVES,2,2,21
LUIS HENRIQUE DE OLIVEIRA RESENDE,2,1,21
PAULO SERGIO ABOU ANNI,2,16,22
FELÍCIO LATERÇA DE ALMEIDA,2,15,22
CELINA LEAO HIZIM,2,14,22
ALCIBIO MESQUITA BIBO NUNES,2,13,22
DANIEL TRZECIAK DUARTE,2,12,22
GILSON MARQUES VIEIRA,2,11,22
JOICE CRISTINA HASSELMANN,2,10,22
GERVÁSIO AGRIPINO MAIA,2,9,22
CAROLINE RODRIGUES DE TONI,2,8,22
EDUARDO NANTES BOLSONARO,2,7,22
CELSO UBIRAJARA RUSSOMANNO,2,6,22
OLAVO BILAC PINTO NETO,2,5,22
BRUNA DIAS FURLAN,2,4,22
ANDRE LUIZ CARVALHO RIBEIRO,2,3,22
ROSIANE MODESTO DE OLIVEIRA,2,2,22
CARLOS MAURO BENEVIDES FILHO,2,1,22
LUIZ ALBERTO OVANDO,2,16,23
SERGIO LUIS LACERDA BRITO,2,15,23
PAULO PEREIRA DA SILVA,2,14,23
ZACARIAS CALIL HAMU,2,13,23
ARTHUR CESAR PEREIRA DE LIRA,2,12,23
GILDENEMIR DE LIMA SOUSA,2,11,23
ANTÔNIO PINHEIRO NETO,2,10,23
NELSON VICENTE PORTELA PELLEGRINO,2,9,23
MIGUEL LOMBARDI,2,8,23
GREYCE DE QUEIROZ ELIAS,2,7,23
NELSON NED PREVIDENTE,2,6,23
MARCELO PIRES MORAES,2,5,23
FABIANA SILVA DE SOUZA,2,4,23
GUILHERME MUSSI FERREIRA,2,3,23
RENILDO VASCONCELOS CALHEIROS,2,2,23
FÁBIO SALUSTINO MESQUITA DE FARIA,2,1,23
VILSON LUIZ DA SILVA,2,16,24
AMARO ROCHA NASCIMENTO NETO,2,15,24
HELIO FERNANDO BARBOSA LOPES,2,14,24
CARLA ZAMBELLI SALGADO,2,13,24
JOSÉ GUILHERME NEGRÃO PEIXOTO,2,12,24
ADRIANO ELI CORRÊA,2,11,24
MARCO AURELIO BERTAIOLLI,2,10,24
JOSÉ BENITO PRIANTE JUNIOR,2,9,24
MAURO NAZIF RASUL,2,8,24
FABIO LUIZ SCHIOCHET FILHO,2,7,24
VITOR HUGO DE ARAUJO ALMEIDA,2,6,24
DAVID BEZERRA RIBEIRO SOARES,2,5,24
DANILO JORGE DE BARROS CABRAL,2,4,24
EXPEDITO GONÇALVES FERREIRA NETTO,2,3,24
VINÍCIUS DE AZEVEDO GURGEL,2,2,24
ALTINEU CORTES FREITAS COUTINHO,2,1,24
RICARDO ZANATTA GUIDI,2,16,25
LUCIANO CALDAS BIVAR,2,15,25
OSMAR GASPARINI TERRA,2,14,25
GIOVANI BATISTA FELTES,2,13,25
GERALDO JUNIO DO AMARAL,2,12,25
ELI DIAS BORGES,2,11,25
ANTONIO CARLOS GOMES DA SILVA,2,10,25
HÉLIO FRANCISCO DA COSTA,2,9,25
GILBERTO APARECIDO ABRAMO,2,8,25
FÁBIO ABREU COSTA,2,7,25
FRANCISCO EVERARDO OLIVEIRA SILVA,2,6,25
NEWTON CARDOSO JÚNIOR,2,5,25
MARCIO LUIZ ALVINO DE SOUZA,2,4,25
SORAYA ALENCAR DOS SANTOS,2,3,25
RODRIGO FELINTO IBARRA EPITÁCIO MAIA,2,2,25
WALDIR SOARES DE OLIVEIRA,2,1,25
JOÃO FERRARI JUNIOR,2,16,26
CHRISTINE NOGUEIRA DOS REIS TONIETTO,2,15,26
AÉCIO NEVES DA CUNHA,2,14,26
GILSON CARDOSO FAHUR,2,13,26
PAULO EDUARDO LIMA MARTINS,2,12,26
JEFFERSON ALVES DE CAMPOS,2,11,26
GENECIAS MATEUS NORONHA,2,10,26
JOÃO HENRIQUE HOLANDA CALDAS,2,9,26
SHÉRIDAN ESTÉRFANY OLIVEIRA DE ANCHIETA,2,8,26
ANTONIO IDILVAN DE LIMA ALENCAR,3,7,26
TEREZA NELMA DA SILVA PORTO VIANA SOARES,3,6,26
CÁSSIO COELHO ANDRADE,3,5,26
JOSÉ SILVA SOARES,3,4,26
ARNALDO CALIL PEREIRA JARDIM,3,3,26
MÁRCIO JERRY SARAIVA BARROSO,3,2,26
CARLOS HENRIQUE AMORIM,3,1,26
TABATA CLAUDIA AMARAL DE PONTES,3,16,27
EUGENIO JOSÉ ZULIANI,3,15,27
JOÃO HENRIQUE DE ANDRADE LIMA CAMPOS,3,14,27
ANGELA REGINA HEINZEN AMIN HELOU,3,13,27
LUIZ ANTONIO DE SOUZA TEIXEIRA JÚNIOR,3,12,27
MARGARETE DE CASTRO COELHO,3,11,27
MARX BELTRÃO LIMA SIQUEIRA,3,10,27
NEREU CRISPIM,3,9,27
ORLANDO SILVA DE JESUS JUNIOR,3,8,27
CARLOS CAMILO GOES CAPIBERIBE,3,7,27
SIDNEY RICARDO DE OLIVEIRA LEITE,3,6,27
JOAQUIM PASSARINHO PINTO DE SOUZA PORTO,3,5,27
ALEX SPINELLI MANENTE,3,4,27
JOÃO DA SILVA MAIA,3,3,27
MARCELO RAMOS RODRIGUES,3,2,27
PEDRO FRANCISCO UCZAI,3,1,27
PAULO EDUARDO MAESTRI BENGTSON,3,16,28
EDIO VIEIRA LOPES,3,15,28
ALICE MAZZUCO PORTUGAL,3,14,28
TIAGO BRAGA PEREIRA,3,13,28
JOSÉ JUSCELINO DOS SANTOS REZENDE FILHO,3,12,28
FRANCISCO TADEU BARBOSA DE ALENCAR,3,11,28
FRANCISCO RODRIGUES VALE JUNIOR,3,10,28
ANTONIO JOSE AGUIAR ALBUQUERQUE,3,9,28
DIONILSO MATEUS MARCON,3,8,28
DIRLAINE JAQUELINE CASSOL,3,7,28
EDUARDO HENRIQUE MAIA BISMARCK,3,6,28
OSIRES RODRIGUES DAMASO,3,5,28
FLAVIA CARREIRO ALBUQUERQUE MORAIS,3,4,28
JOSÉ AUGUSTO ROSA,3,3,28
CARLOS ALBERTO ROLIM ZARATTINI,3,2,28
LUIZ CARLOS GOMES DOS SANTOS JUNIOR,3,1,28
MAURO RIBEIRO LOPES,3,16,29
DANIEL LUCIO DA SILVEIRA,3,15,29
TÚLIO GADELHA SALES DE MELO,3,14,29
ADRIANO ANTÔNIO AVELAR,3,13,29
CELSO SABINO DE OLIVEIRA,3,12,29
ALIEL MACHADO BARK,3,11,29
LUIZ BENES LEOCADIO DE ARAUJO,3,10,29
AIRTON LUIZ FALEIRO,3,9,29
GUILHERME MURARO DERRITE,3,8,29
ALEXANDRE AUGUSTUS SERFIOTIS,3,7,29
LUIZ PAULO TEIXEIRA FERREIRA,3,6,29
RUBENS BUENO,3,5,29
EDUARDO LUIZ BARROS BARBOSA,3,4,29
ANTONIO SERGIO ALVES VIDIGAL,3,3,29
LUISA DOS SANTOS SILVEIRA,3,2,29
LAFAYETTE LUIZ DOORGAL DE ANDRADA,3,1,29
LEUR ANTONIO DE BRITTO LOMANTO JUNIOR,3,16,30
JULIO CESAR DE CARVALHO LIMA,3,15,30
DIEGO ALEXSANDER GONÇALO PAULA GARCIA,3,14,30
HERCULANO CASTILHO PASSOS JUNIOR,3,13,30
MARCIVANIA DO SOCORRO DA ROCHA FLEXA,3,12,30
LUIZ ARMANDO SCHROEDER REIS,4,11,30
GUSTAVO BONATO FRUET,4,10,30
LUIS CLAUDIO FERNANDES MIRANDA,4,9,30
PAULA MORENO PARO BELMONTE,4,8,30
FABIO RICARDO TRAD,4,7,30
EDUARDO SALIM BRAIDE,4,6,30
CARMEN EMILIA BONFÁ ZANOTTO,4,5,30
LUIZ CARLOS MOTTA,4,4,30
CLARISSA GAROTINHO BARROS ASSED MATHEUS DE OLIVEIRA,4,3,30
TIAGO LIMA MITRAUD DE CASTRO LEITE,4,2,30
LUCAS DE VASCONCELOS GONZALEZ,4,1,30
ISRAEL MATOS BATISTA,4,16,31
